#|SEDE_ATENCION|TIPO_SOLICITUD|SEXO_BENEFICIARIO|EDAD_BENEFICIARIO|DISTRITO_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD_BENEFICIARIO|ANO_TRA|MES_TRA|TOTAL_MOV_MIGRA|ESTADO_TRAMITE|NACIONALIDAD_SOLICITANTE|FECHA_DE_CORTE
134|SERVICIOS WEB|PROPIETARIO|F|38|SAN ISIDRO|LIMA|ESPAÑOLA|2023|OCTUBRE|39|E|ESPAÑOLA|2023-10-05
135|SERVICIOS WEB|PROPIETARIO|M|28|SAN JUAN DE LURIGANCHO|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
136|SERVICIOS WEB|PROPIETARIO|M|28|BREÑA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
137|SERVICIOS WEB|PROPIETARIO|F|30|SURQUILLO|LIMA|COREANA|2023|OCTUBRE|0|E|COREANA|2023-10-05
138|SERVICIOS WEB|PROPIETARIO|F|67|LIMA|LIMA|UCRANIANA|2023|OCTUBRE|0|E|UCRANIANA|2023-10-05
139|SERVICIOS WEB|PROPIETARIO|M|69|MIRAFLORES|LIMA|UCRANIANA|2023|OCTUBRE|0|E|UCRANIANA|2023-10-05
140|SERVICIOS WEB|PROPIETARIO|F|45|SAN ISIDRO|LIMA|ESPAÑOLA|2023|OCTUBRE|0|E|ESPAÑOLA|2023-10-05
141|SERVICIOS WEB|PROPIETARIO|F|34|LA VICTORIA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
142|SERVICIOS WEB|PROPIETARIO|F|67|LIMA|LIMA|UCRANIANA|2023|OCTUBRE|25|E|UCRANIANA|2023-10-05
143|SERVICIOS WEB|PROPIETARIO|F|30|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
144|SERVICIOS WEB|PROPIETARIO|F|50|BARRANCO|LIMA|ESPAÑOLA|2023|OCTUBRE|105|E|ESPAÑOLA|2023-10-05
145|SERVICIOS WEB|PROPIETARIO|F|35|CHORRILLOS|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
146|SERVICIOS WEB|PROPIETARIO|M|53|LA MOLINA|LIMA|ECUATORIANA|2023|OCTUBRE|14|E|ECUATORIANA|2023-10-05
147|SERVICIOS WEB|PROPIETARIO|M|57|MIRAFLORES|LIMA|ESPAÑOLA|2023|OCTUBRE|0|E|ESPAÑOLA|2023-10-05
148|SERVICIOS WEB|PROPIETARIO|M|34|ATE|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
149|SERVICIOS WEB|PROPIETARIO|M|33|PUEBLO LIBRE (MAGDALENA VIEJA)|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
150|SERVICIOS WEB|PROPIETARIO|M|30|LA VICTORIA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-05
151|SERVICIOS WEB|PROPIETARIO|M|56|LINCE|LIMA|COLOMBIANA|2023|OCTUBRE|4|E|COLOMBIANA|2023-10-05
152|SERVICIOS WEB|PROPIETARIO|F|30|CHILCA|JUNIN|MEXICANA|2023|OCTUBRE|7|E|MEXICANA|2023-10-05
153|SERVICIOS WEB|PROPIETARIO|M|46|MIRAFLORES|LIMA|ESTADOUNIDENSE|2023|OCTUBRE|44|E|ESTADOUNIDENSE|2023-10-05
154|SERVICIOS WEB|PROPIETARIO|F|41|LA VICTORIA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-06
155|SERVICIOS WEB|PROPIETARIO|M|25|SAN JUAN DE MIRAFLORES|LIMA|VENEZOLANA|2023|OCTUBRE|1|E|VENEZOLANA|2023-10-06
156|SERVICIOS WEB|PROPIETARIO|M|41|PACHACAMAC|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-06
157|SERVICIOS WEB|PROPIETARIO|M|37|PACHACAMAC|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-06
158|SERVICIOS WEB|PROPIETARIO|M|37|SANTIAGO DE SURCO|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-06
159|SERVICIOS WEB|PROPIETARIO|F|46|SANTIAGO DE SURCO|LIMA|BRASILERA|2023|OCTUBRE|0|E|BRASILERA|2023-10-06
160|SERVICIOS WEB|PROPIETARIO|M|51|SAN BORJA|LIMA|INDIA|2023|OCTUBRE|0|E|INDIA|2023-10-06
161|SERVICIOS WEB|PROPIETARIO|F|33|COMAS|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-06
162|SERVICIOS WEB|PROPIETARIO|M|43|BARRANCO|LIMA|FRANCESA|2023|OCTUBRE|0|E|FRANCESA|2023-10-06
163|SERVICIOS WEB|PROPIETARIO|M|29|LIMA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-06
164|SERVICIOS WEB|PROPIETARIO|F|21|LOS OLIVOS|LIMA|DOMINICANA|2023|OCTUBRE|2|E|DOMINICANA|2023-10-06
165|SERVICIOS WEB|PROPIETARIO|F|23|EL AGUSTINO|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-06
166|SERVICIOS WEB|PROPIETARIO|M|50|MIRAFLORES|LIMA|COLOMBIANA|2023|OCTUBRE|0|E|COLOMBIANA|2023-10-06
167|SERVICIOS WEB|PROPIETARIO|M|30|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-06
