#|SEDE_ATENCION|TIPO_SOLICITUD|SEXO_BENEFICIARIO|EDAD_BENEFICIARIO|DISTRITO_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD_BENEFICIARIO|ANO_TRA|MES_TRA|TOTAL_MOV_MIGRA|ESTADO_TRAMITE|NACIONALIDAD_SOLICITANTE|FECHA_DE_CORTE
558|SERVICIOS WEB|PROPIETARIO|M|24|NUEVO CHIMBOTE|ANCASH|COLOMBIANA|2023|SEPTIEMBRE|1|E|COLOMBIANA|2023-09-26
559|SERVICIOS WEB|PROPIETARIO|M|60|PIURA|PIURA|BRASILERA|2023|SEPTIEMBRE|50|E|BRASILERA|2023-09-26
560|SERVICIOS WEB|PROPIETARIO|F|32|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|1|E|VENEZOLANA|2023-09-26
561|SERVICIOS WEB|PROPIETARIO|F|42|MIRAFLORES|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-26
562|SERVICIOS WEB|PROPIETARIO|M|26|SAN MARTIN DE PORRES|LIMA|ECUATORIANA|2023|SEPTIEMBRE|3|E|ECUATORIANA|2023-09-26
563|SERVICIOS WEB|PROPIETARIO|F|28|CHORRILLOS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
564|SERVICIOS WEB|PROPIETARIO|M|31|SAN BORJA|LIMA|CHILENA|2023|SEPTIEMBRE|0|E|CHILENA|2023-09-26
565|SERVICIOS WEB|PROPIETARIO|M|37|LIMA|LIMA|CHINA|2023|SEPTIEMBRE|13|E|CHINA|2023-09-26
566|SERVICIOS WEB|PROPIETARIO|F|44|SAN BORJA|LIMA|MEXICANA|2023|SEPTIEMBRE|8|E|MEXICANA|2023-09-26
567|SERVICIOS WEB|PROPIETARIO|M|42|SAN MARTIN DE PORRES|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-26
568|SERVICIOS WEB|PROPIETARIO|M|40|SAN ISIDRO|LIMA|MEXICANA|2023|SEPTIEMBRE|0|E|MEXICANA|2023-09-26
569|SERVICIOS WEB|PROPIETARIO|F|83|BARRANCO|LIMA|ARGENTINA|2023|SEPTIEMBRE|2|E|ARGENTINA|2023-09-26
570|SERVICIOS WEB|PROPIETARIO|M|54|MIRAFLORES|LIMA|PORTUGUESA|2023|SEPTIEMBRE|0|E|PORTUGUESA|2023-09-26
571|SERVICIOS WEB|PROPIETARIO|F|36|LA MOLINA|LIMA|COLOMBIANA|2023|SEPTIEMBRE|9|E|COLOMBIANA|2023-09-26
572|SERVICIOS WEB|PROPIETARIO|M|30|CARABAYLLO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
573|SERVICIOS WEB|PROPIETARIO|F|69|SAN MIGUEL|LIMA|VENEZOLANA|2023|SEPTIEMBRE|2|E|VENEZOLANA|2023-09-26
574|SERVICIOS WEB|PROPIETARIO|M|26|CHORRILLOS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
575|SERVICIOS WEB|PROPIETARIO|F|53|CHORRILLOS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
576|SERVICIOS WEB|PROPIETARIO|M|24|ATE|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
577|SERVICIOS WEB|PROPIETARIO|F|56|LA MOLINA|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-26
578|SERVICIOS WEB|PROPIETARIO|M|39|MIRAFLORES|LIMA|ESPAÑOLA|2023|SEPTIEMBRE|36|E|ESPAÑOLA|2023-09-26
579|SERVICIOS WEB|PROPIETARIO|M|61|LA MOLINA|LIMA|COLOMBIANA|2023|SEPTIEMBRE|1|E|COLOMBIANA|2023-09-26
580|SERVICIOS WEB|PROPIETARIO|F|34|MIRAFLORES|LIMA|CHINA|2023|SEPTIEMBRE|0|E|CHINA|2023-09-26
581|SERVICIOS WEB|PROPIETARIO|M|44|IQUITOS|LORETO|ESPAÑOLA|2023|SEPTIEMBRE|0|E|ESPAÑOLA|2023-09-26
582|SERVICIOS WEB|PROPIETARIO|M|42|LIMA|LIMA|PERUANA|2023|SEPTIEMBRE|4|E|PERUANA|2023-09-26
583|SERVICIOS WEB|PROPIETARIO|M|59|CAYMA|AREQUIPA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-26
584|SERVICIOS WEB|PROPIETARIO|M|58|<NO DEFINIDO>|<NO DEFINIDO>|COLOMBIANA|2023|SEPTIEMBRE|56|E|COLOMBIANA|2023-09-26
585|SERVICIOS WEB|PROPIETARIO|M|37|CALLAO|CALLAO|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
586|SERVICIOS WEB|PROPIETARIO|M|53|SAN JUAN DE LURIGANCHO|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-26
